,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
124,,,,,,,,,,,,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,600,6555000
125,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,17/01/2023,400,485000
126,,,,,,,,,,,,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,500,580000
127,,,,,,,,,,,,مبارك الكبير,مبارك الكبير,خاص,بيت,بيع,%100.000,2,17/01/2023,400,325000
128,,,,,,,,,,,,الفروانية,الرابية,خاص,بيت,بيع,%100.000,1,17/01/2023,357,355000
129,,,,,,,,,,,,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,7,16/01/2023,144,510000
130,,,,,,,,,,,,12345,1,2,3,4,5,,,,
131,,,,,,,,,,,,1,2,3,4,5,,,,,
132,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
134,,,,,,,,,,,,الفروانية,الفروانية,إستثماري,ارض,بيع,%100.000,58,16/01/2023,924,1930000
135,,,,,,,,,,,,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,16/01/2023,150.08,151
136,,,,,,,,,,,,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,1,16/01/2023,400,215000
137,,,,,,,,,,,,مبارك الكبير,غرب أبو فطيرة الحرفية,حرفي,قسيمة حرفية,بيع,%100.000,0,16/01/2023,500,2200000
138,,,,,,,,,,,,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,3,16/01/2023,400,415000
139,,,,,,,,,,,,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,4,16/01/2023,400,455000
140,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,بناية,بيع,%100.000,2,16/01/2023,500,820000
141,,,,,,,,,,,,العاصمة,الخالدية,خاص,أرض,تخارج بمقابل,%19.440,1,16/01/2023,667,50000
142,,,,,,,,,,,,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
143,,,,,,,,,,,,مبارك الكبير,ض.صباح السالم,إستثماري,شقة,بيع,%100.000,2,16/01/2023,106.25,120000
